,ISIN,RIC,name,symbol
141,TH8367010007,TH:DREIT,DUSIT THANI FH.&. LH. REIT,DREIT
142,TH0872A10Z08,TH:DRT,DIAMOND BLDG.PRODUCTS,DRT
143,TH0554010Z06,TH:DTAC,TOTAL ACCESS COMMS.,DTAC
144,TH0007A10Z06,TH:DTC,DUSIT THANI,DTC
145,TH0296010000,TH:DTCI,DTC INDUSTRIES,DTCI
146,TH3545010003,TH:EA,ENERGY ABSOLUTE,EA
147,TH0861010Z05,TH:EASON,EASON &,EASON
148,TH0616010Z03,TH:EASTW,EASTERN WATER RESOURCES DEV.& MAN.,EASTW
149,TH0767010Z04,TH:ECL,EASTERN COML.LEASING,ECL
150,TH0282010Y05,TH:EE,ETERNAL ENERGY,EE
151,TH6585010007,TH:EGATIF,NORTH BANGKOK PWR.PLANT BLOCK 1 INFR.FD.,EGATIF
152,TH0465010005,TH:EGCO,ELECTRICITY GENERATING,EGCO
153,TH7344010007,TH:EKH,EKACHAI MEDICAL CARE,EKH
154,TH0565B10Z09,TH:EMC,EMC,EMC
155,TH0344B10Z07,TH:EP,EASTERN POWER,EP
156,TH6128010001,TH:EPG,EASTERN POLYMER GROUP,EPG
157,TH0120010Y07,TH:ERW,ERAWAN GROUP,ERW
158,TH4398010009,TH:ERWPF,ERAWAN HOTEL GROWTH PROPERTY,ERWPF
159,TH0975010008,TH:ESSO,ESSO THAILAND,ESSO
160,TH0381A10Z02,TH:ESTAR,EASTERN STAR REAL ESTATE,ESTAR
161,TH0391010004,TH:EVER,EVERLAND,EVER
162,TH0410010001,TH:F&D,FOOD AND DRINKS,F&D
163,TH0434A10Z09,TH:FANCY,FANCY WOOD INDUSTRIES,FANCY
164,TH0087010Y08,TH:FE,FAR EAST FAME LINE DDB ORS,FE
165,TH0609010002,TH:FMT,FURUKAWA METAL(THAILAND),FMT
166,TH7578010004,TH:FN,FN FACTORY OUTLET,FN
167,TH0686010Z06,TH:FNS,FINANSA,FNS
168,TH0920010Z09,TH:FORTH,FORTH,FORTH
169,TH0675010Y00,TH:FPT,FRASERS PROPERTY PUBLIC,FPT
170,TH0802010Z09,TH:FSS,FINANSIA SYRUS SECS.,FSS
171,TH8103010006,TH:FTE,FIRETRADE ENGINEERING,FTE
172,TH6172010006,TH:FTREIT,FRASERS PROP THA INDUST FHLH.REIT,FTREIT
173,TH0932010000,TH:FUTUREPF,FUTURE PARK LEASEHOLD PROPERTY,FUTUREPF
