,Symbol In SET100 Constituent,Company Name,Unnamed: 0,symbol,exchange,industry,sector,name
144,TRC,TRC CONSTRUCTION,TRC,TRC,SET,Property & Construction,Construction Services,TRC CONSTRUCTION PUBLIC COMPANY LIMITED
145,TRUE,TRUE CORPORATION,TRUE,TRUE,SET,Technology,Information & Communication Technology,TRUE CORPORATION PUBLIC COMPANY LIMITED
146,TTA,THAI COATING INDL.,TTA,TTA,SET,Services,Transportation & Logistics,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED
147,TTCL,TTCL,TTCL,TTCL,SET,Property & Construction,Construction Services,TTCL PUBLIC COMPANY LIMITED
148,TTW,THAI TAP WATER SUPPLY,TTW,TTW,SET,Resources,Energy & Utilities,TTW PUBLIC COMPANY LIMITED
149,TU,THAI UNION GROUP,TU,TU,SET,Agro & Food Industry,Food & Beverage,THAI UNION GROUP PUBLIC COMPANY LIMITED
150,TVO,THAI VEGETABLE OIL,TVO,TVO,SET,Agro & Food Industry,Food & Beverage,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED
151,U,U CITY,U,U,SET,Property & Construction,Property Development,U CITY PUBLIC COMPANY LIMITED
152,UNIQ,UNIQUE ENGR.AND CON.,UNIQ,UNIQ,SET,Property & Construction,Construction Services,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED
153,UV,UNIVENTURES,UV,UV,SET,Property & Construction,Property Development,UNIVENTURES PUBLIC COMPANY LIMITED
154,VGI,VGI,VGI,VGI,SET,Services,Media & Publishing,VGI PUBLIC COMPANY LIMITED
155,VIBHA,VIBHAVADI MEDICAL,VIBHA,VIBHA,SET,Services,Health Care Services,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED
156,VNG,VANACHAI GROUP,VNG,VNG,SET,Property & Construction,Construction Materials,VANACHAI GROUP PUBLIC COMPANY LIMITED
157,WHA,WHA,WHA,WHA,SET,Property & Construction,Property Development,WHA CORPORATION PUBLIC COMPANY LIMITED
158,WHAUP,WHA UTILITIES AND POWER,WHAUP,WHAUP,SET,Resources,Energy & Utilities,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED
159,WORK,WORKPOINT ENTERTAINMENT,WORK,WORK,SET,Services,Media & Publishing,WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED
