Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker,Type
2015-08-03,"1,442.04",1435.62,1442.16,1432.1,8.00B,0.13,1442.04,8000000000.0,2015-08-03,SET,StockIndex
2015-08-04,"1,432.16",1438.67,1439.06,1428.52,9.53B,-0.69,1432.16,9530000000.0,2015-08-04,SET,StockIndex
2015-08-05,"1,436.36",1438.16,1441.38,1433.84,11.83B,0.29,1436.36,11830000000.0,2015-08-05,SET,StockIndex
2015-08-06,"1,430.58",1436.66,1439.22,1428.53,8.44B,-0.4,1430.58,8439999999.999999,2015-08-06,SET,StockIndex
2015-08-07,"1,428.79",1429.92,1433.15,1426.95,7.03B,-0.13,1428.79,7030000000.0,2015-08-07,SET,StockIndex
2015-08-10,"1,420.13",1423.3,1425.63,1418.89,11.00B,-0.61,1420.13,11000000000.0,2015-08-10,SET,StockIndex
2015-08-11,"1,408.32",1423.31,1425.68,1408.32,9.30B,-0.83,1408.32,9300000000.0,2015-08-11,SET,StockIndex
2015-08-13,"1,404.15",1399.3,1404.15,1382.7,10.37B,-0.3,1404.15,10370000000.0,2015-08-13,SET,StockIndex
2015-08-14,"1,413.92",1404.24,1416.47,1399.39,9.68B,0.7,1413.92,9680000000.0,2015-08-14,SET,StockIndex
2015-08-17,"1,408.74",1414.64,1418.69,1408.74,8.64B,-0.37,1408.74,8640000000.0,2015-08-17,SET,StockIndex
2015-08-18,"1,372.61",1371.88,1388.12,1362.31,18.76B,-2.56,1372.61,18760000000.0,2015-08-18,SET,StockIndex
2015-08-19,"1,379.12",1376.19,1383.3,1370.24,9.41B,0.47,1379.12,9410000000.0,2015-08-19,SET,StockIndex
2015-08-20,"1,372.53",1372.66,1379.5,1370.04,10.46B,-0.48,1372.53,10460000000.0,2015-08-20,SET,StockIndex
2015-08-21,"1,365.61",1365.93,1369.84,1357.9,11.42B,-0.5,1365.61,11420000000.0,2015-08-21,SET,StockIndex
2015-08-24,"1,301.06",1334.62,1336.79,1301.06,16.11B,-4.73,1301.06,16110000000.0,2015-08-24,SET,StockIndex
2015-08-25,"1,323.88",1315.71,1323.88,1292.14,13.92B,1.75,1323.88,13920000000.0,2015-08-25,SET,StockIndex
2015-08-26,"1,320.08",1314.91,1333.3,1314.86,15.77B,-0.29,1320.08,15770000000.0,2015-08-26,SET,StockIndex
2015-08-27,"1,358.03",1338.37,1359.23,1336.59,16.18B,2.87,1358.03,16180000000.0,2015-08-27,SET,StockIndex
2015-08-28,"1,365.94",1374.36,1380.66,1358.76,10.77B,0.58,1365.94,10770000000.0,2015-08-28,SET,StockIndex
2015-08-31,"1,382.41",1367.81,1382.41,1364.34,11.99B,1.21,1382.41,11990000000.0,2015-08-31,SET,StockIndex
2015-09-01,"1,362.39",1381.64,1384.18,1361.77,15.44B,-1.45,1362.39,15440000000.0,2015-09-01,SET,StockIndex
2015-09-02,"1,372.45",1360.52,1375.72,1355.27,10.96B,0.74,1372.45,10960000000.0,2015-09-02,SET,StockIndex
2015-09-03,"1,383.48",1379.78,1386.54,1378.93,11.01B,0.8,1383.48,11010000000.0,2015-09-03,SET,StockIndex
2015-09-04,"1,370.75",1378.64,1381.68,1368.89,11.71B,-0.92,1370.75,11710000000.0,2015-09-04,SET,StockIndex
2015-09-07,"1,371.40",1368.28,1374.27,1365.7,9.11B,0.05,1371.4,9110000000.0,2015-09-07,SET,StockIndex
2015-09-08,"1,379.32",1371.31,1379.92,1360.08,9.91B,0.58,1379.32,9910000000.0,2015-09-08,SET,StockIndex
2015-09-09,"1,396.29",1390.17,1398.57,1385.89,11.95B,1.23,1396.29,11950000000.0,2015-09-09,SET,StockIndex
2015-09-10,"1,396.16",1386.49,1396.16,1384.39,9.49B,-0.01,1396.16,9490000000.0,2015-09-10,SET,StockIndex
2015-09-11,"1,381.72",1399.3,1403.3,1381.48,12.30B,-1.03,1381.72,12300000000.0,2015-09-11,SET,StockIndex
2015-09-14,"1,377.15",1382.64,1385.12,1371.96,10.50B,-0.33,1377.15,10500000000.0,2015-09-14,SET,StockIndex
2015-09-15,"1,370.65",1377.33,1381.09,1368.31,11.93B,-0.47,1370.65,11930000000.0,2015-09-15,SET,StockIndex
2015-09-16,"1,381.80",1375.28,1382.42,1369.45,8.92B,0.81,1381.8,8920000000.0,2015-09-16,SET,StockIndex
2015-09-17,"1,389.70",1387.0,1392.81,1384.62,8.41B,0.57,1389.7,8410000000.0,2015-09-17,SET,StockIndex
2015-09-18,"1,390.32",1394.0,1397.77,1386.79,10.12B,0.04,1390.32,10120000000.0,2015-09-18,SET,StockIndex
2015-09-21,"1,392.73",1384.76,1394.35,1382.44,7.85B,0.17,1392.73,7850000000.0,2015-09-21,SET,StockIndex
2015-09-22,"1,379.32",1396.38,1397.29,1377.79,9.68B,-0.96,1379.32,9680000000.0,2015-09-22,SET,StockIndex
2015-09-23,"1,375.17",1372.43,1378.64,1364.73,7.92B,-0.3,1375.17,7920000000.0,2015-09-23,SET,StockIndex
2015-09-24,"1,372.35",1371.9,1375.83,1365.6,9.32B,-0.21,1372.35,9320000000.0,2015-09-24,SET,StockIndex
2015-09-25,"1,376.83",1375.31,1380.59,1368.43,9.27B,0.33,1376.83,9270000000.0,2015-09-25,SET,StockIndex
2015-09-28,"1,352.13",1368.56,1369.1,1352.02,8.49B,-1.79,1352.13,8490000000.0,2015-09-28,SET,StockIndex
2015-09-29,"1,348.84",1342.36,1358.63,1341.3,10.40B,-0.24,1348.84,10400000000.0,2015-09-29,SET,StockIndex
2015-09-30,"1,349.00",1353.06,1356.62,1348.24,9.47B,0.01,1349.0,9470000000.0,2015-09-30,SET,StockIndex
2015-10-01,"1,345.15",1353.92,1358.15,1344.96,9.98B,-0.29,1345.15,9980000000.0,2015-10-01,SET,StockIndex
2015-10-02,"1,346.35",1345.68,1351.03,1342.0,7.31B,0.09,1346.35,7310000000.0,2015-10-02,SET,StockIndex
2015-10-05,"1,363.17",1354.11,1363.98,1353.73,7.63B,1.25,1363.17,7630000000.0,2015-10-05,SET,StockIndex
2015-10-06,"1,370.69",1367.9,1372.56,1363.39,8.82B,0.55,1370.69,8820000000.0,2015-10-06,SET,StockIndex
2015-10-07,"1,393.66",1376.47,1394.05,1373.59,9.15B,1.68,1393.66,9150000000.0,2015-10-07,SET,StockIndex
2015-10-08,"1,392.15",1393.79,1401.84,1390.0,12.58B,-0.11,1392.15,12580000000.0,2015-10-08,SET,StockIndex
2015-10-09,"1,411.33",1404.68,1415.53,1403.54,11.02B,1.38,1411.33,11020000000.0,2015-10-09,SET,StockIndex
2015-10-12,"1,412.49",1415.44,1417.51,1406.61,10.68B,0.08,1412.49,10680000000.0,2015-10-12,SET,StockIndex
2015-10-13,"1,406.69",1408.33,1410.15,1399.52,9.58B,-0.41,1406.69,9580000000.0,2015-10-13,SET,StockIndex
2015-10-14,"1,405.08",1405.29,1414.85,1404.47,8.45B,-0.11,1405.08,8449999999.999999,2015-10-14,SET,StockIndex
2015-10-15,"1,425.32",1413.0,1426.17,1412.36,9.14B,1.44,1425.32,9140000000.0,2015-10-15,SET,StockIndex
2015-10-16,"1,418.38",1428.99,1429.54,1416.65,9.00B,-0.49,1418.38,9000000000.0,2015-10-16,SET,StockIndex
2015-10-19,"1,416.91",1421.61,1426.81,1413.34,7.43B,-0.1,1416.91,7430000000.0,2015-10-19,SET,StockIndex
2015-10-20,"1,418.63",1415.55,1424.07,1414.97,6.72B,0.12,1418.63,6720000000.0,2015-10-20,SET,StockIndex
2015-10-21,"1,415.80",1421.63,1424.29,1412.28,7.11B,-0.2,1415.8,7110000000.0,2015-10-21,SET,StockIndex
2015-10-22,"1,416.14",1415.52,1417.89,1413.48,6.86B,0.02,1416.14,6860000000.0,2015-10-22,SET,StockIndex
2015-10-26,"1,424.16",1429.03,1431.86,1423.24,7.73B,0.57,1424.16,7730000000.0,2015-10-26,SET,StockIndex
2015-10-27,"1,424.05",1422.73,1428.78,1421.15,7.63B,-0.01,1424.05,7630000000.0,2015-10-27,SET,StockIndex
2015-10-28,"1,409.26",1422.97,1423.94,1407.02,11.13B,-1.04,1409.26,11130000000.0,2015-10-28,SET,StockIndex
2015-10-29,"1,390.04",1409.62,1411.29,1387.75,10.23B,-1.36,1390.04,10230000000.0,2015-10-29,SET,StockIndex
2015-10-30,"1,394.94",1391.41,1398.9,1389.83,7.21B,0.35,1394.94,7210000000.0,2015-10-30,SET,StockIndex
2015-11-02,"1,413.34",1395.63,1413.57,1395.35,7.17B,1.32,1413.34,7170000000.0,2015-11-02,SET,StockIndex
2015-11-03,"1,412.62",1419.45,1420.6,1408.53,7.54B,-0.05,1412.62,7540000000.0,2015-11-03,SET,StockIndex
2015-11-04,"1,423.42",1420.65,1425.36,1417.47,8.70B,0.76,1423.42,8700000000.0,2015-11-04,SET,StockIndex
2015-11-05,"1,413.16",1421.23,1427.05,1412.51,9.57B,-0.72,1413.16,9570000000.0,2015-11-05,SET,StockIndex
2015-11-06,"1,414.54",1411.47,1416.42,1408.94,9.44B,0.1,1414.54,9440000000.0,2015-11-06,SET,StockIndex
2015-11-09,"1,402.57",1412.15,1413.7,1401.77,7.88B,-0.85,1402.57,7880000000.0,2015-11-09,SET,StockIndex
2015-11-10,"1,398.38",1398.19,1403.26,1394.71,8.94B,-0.3,1398.38,8940000000.0,2015-11-10,SET,StockIndex
2015-11-11,"1,390.15",1398.58,1400.97,1389.94,10.45B,-0.59,1390.15,10450000000.0,2015-11-11,SET,StockIndex
2015-11-12,"1,384.29",1383.88,1387.75,1379.1,12.51B,-0.42,1384.29,12510000000.0,2015-11-12,SET,StockIndex
2015-11-13,"1,382.46",1380.34,1385.7,1379.1,8.63B,-0.13,1382.46,8630000000.0,2015-11-13,SET,StockIndex
