Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker
2015-10-07,908.45,893.11,908.45,889.61,1.78B,2.29,908.45,1780000000.0,2015-10-07,SET50
2015-10-08,907.17,907.65,915.52,905.42,2.06B,-0.14,907.17,2060000000.0,2015-10-08,SET50
2015-10-09,921.20,917.05,925.41,916.06,2.33B,1.55,921.2,2330000000.0,2015-10-09,SET50
2015-10-12,920.43,923.4,924.89,914.99,1.61B,-0.08,920.43,1610000000.0,2015-10-12,SET50
2015-10-13,916.17,916.33,918.29,908.91,1.60B,-0.46,916.17,1600000000.0,2015-10-13,SET50
2015-10-14,909.47,914.18,918.16,908.78,1.20B,-0.73,909.47,1200000000.0,2015-10-14,SET50
2015-10-15,923.53,914.88,924.87,914.28,1.62B,1.55,923.53,1620000000.0,2015-10-15,SET50
2015-10-16,919.63,926.62,927.27,917.68,1.73B,-0.42,919.63,1730000000.0,2015-10-16,SET50
2015-10-19,916.82,921.07,925.04,913.84,803.32M,-0.31,916.82,803320000.0,2015-10-19,SET50
2015-10-20,915.72,915.05,921.28,914.42,741.61M,-0.12,915.72,741610000.0,2015-10-20,SET50
2015-10-21,914.31,917.44,919.29,910.98,993.01M,-0.15,914.31,993010000.0,2015-10-21,SET50
2015-10-22,914.68,913.89,915.91,912.25,1.30B,0.04,914.68,1300000000.0,2015-10-22,SET50
2015-10-26,921.25,924.26,926.64,920.07,1.41B,0.72,921.25,1410000000.0,2015-10-26,SET50
2015-10-27,921.45,919.24,924.9,917.56,925.62M,0.02,921.45,925620000.0,2015-10-27,SET50
2015-10-28,910.86,919.43,920.89,909.05,1.70B,-1.15,910.86,1700000000.0,2015-10-28,SET50
2015-10-29,897.73,910.26,912.16,896.1,1.77B,-1.44,897.73,1770000000.0,2015-10-29,SET50
2015-10-30,899.52,898.71,904.1,896.81,1.16B,0.2,899.52,1160000000.0,2015-10-30,SET50
2015-11-02,915.60,900.38,915.6,899.86,901.50M,1.79,915.6,901500000.0,2015-11-02,SET50
2015-11-03,913.52,920.17,920.47,910.58,1.52B,-0.23,913.52,1520000000.0,2015-11-03,SET50
2015-11-04,921.61,920.05,923.05,917.15,1.28B,0.89,921.61,1280000000.0,2015-11-04,SET50
2015-11-05,913.30,918.7,923.03,912.26,2.08B,-0.9,913.3,2080000000.0,2015-11-05,SET50
2015-11-06,914.02,911.51,915.43,908.91,2.24B,0.08,914.02,2240000000.0,2015-11-06,SET50
2015-11-09,903.93,911.23,912.52,902.28,1.40B,-1.1,903.93,1400000000.0,2015-11-09,SET50
2015-11-10,898.99,899.9,903.02,896.5,933.65M,-0.55,898.99,933650000.0,2015-11-10,SET50
2015-11-11,893.76,899.1,901.32,893.76,1.69B,-0.58,893.76,1690000000.0,2015-11-11,SET50
2015-11-12,889.79,887.34,892.11,884.34,1.88B,-0.44,889.79,1880000000.0,2015-11-12,SET50
2015-11-13,888.10,886.84,891.24,885.27,2.03B,-0.19,888.1,2029999999.9999998,2015-11-13,SET50
2015-11-16,892.91,879.74,892.91,878.37,1.61B,0.54,892.91,1610000000.0,2015-11-16,SET50
2015-11-17,892.68,898.89,900.28,892.12,1.71B,-0.03,892.68,1710000000.0,2015-11-17,SET50
2015-11-18,882.73,893.3,895.74,881.54,1.58B,-1.11,882.73,1580000000.0,2015-11-18,SET50
2015-11-19,888.57,888.93,891.79,885.92,1.96B,0.66,888.57,1960000000.0,2015-11-19,SET50
2015-11-20,895.84,890.08,897.83,886.81,1.39B,0.82,895.84,1390000000.0,2015-11-20,SET50
2015-11-23,895.29,898.5,900.96,895.29,1.19B,-0.06,895.29,1190000000.0,2015-11-23,SET50
2015-11-24,888.18,896.37,899.41,886.96,1.54B,-0.79,888.18,1540000000.0,2015-11-24,SET50
2015-11-25,886.19,890.87,893.25,883.38,1.28B,-0.22,886.19,1280000000.0,2015-11-25,SET50
2015-11-26,874.82,888.01,889.93,872.94,1.50B,-1.28,874.82,1500000000.0,2015-11-26,SET50
2015-11-27,872.72,873.84,876.81,869.59,1.34B,-0.24,872.72,1340000000.0,2015-11-27,SET50
2015-11-30,869.38,870.09,878.35,865.15,1.44B,-0.38,869.38,1440000000.0,2015-11-30,SET50
2015-12-01,870.09,872.53,873.51,865.92,1.32B,0.08,870.09,1320000000.0,2015-12-01,SET50
2015-12-02,857.35,869.31,876.2,857.02,1.62B,-1.46,857.35,1620000000.0,2015-12-02,SET50
2015-12-03,861.42,851.84,862.89,849.28,1.65B,0.47,861.42,1650000000.0,2015-12-03,SET50
2015-12-04,855.76,857.04,859.3,853.95,1.24B,-0.66,855.76,1240000000.0,2015-12-04,SET50
2015-12-08,837.43,848.6,849.42,837.3,1.51B,-2.14,837.43,1510000000.0,2015-12-08,SET50
2015-12-09,830.85,839.59,844.81,829.76,1.14B,-0.79,830.85,1140000000.0,2015-12-09,SET50
2015-12-11,818.69,830.94,831.59,816.6,1.22B,-1.46,818.69,1220000000.0,2015-12-11,SET50
2015-12-14,810.64,804.11,811.88,796.33,1.55B,-0.98,810.64,1550000000.0,2015-12-14,SET50
2015-12-15,833.49,817.44,833.57,813.17,2.47B,2.82,833.49,2470000000.0,2015-12-15,SET50
2015-12-16,832.29,835.87,839.26,829.72,1.83B,-0.14,832.29,1830000000.0,2015-12-16,SET50
2015-12-17,836.95,827.94,839.1,827.03,1.93B,0.56,836.95,1930000000.0,2015-12-17,SET50
2015-12-18,816.37,829.99,830.32,816.37,2.47B,-2.46,816.37,2470000000.0,2015-12-18,SET50
2015-12-21,801.81,803.7,813.32,799.21,2.61B,-1.78,801.81,2610000000.0,2015-12-21,SET50
2015-12-22,802.23,809.74,813.67,798.53,3.11B,0.05,802.23,3110000000.0,2015-12-22,SET50
2015-12-23,810.78,809.0,811.66,803.82,1.62B,1.07,810.78,1620000000.0,2015-12-23,SET50
2015-12-24,816.42,819.46,819.72,813.84,1.30B,0.7,816.42,1300000000.0,2015-12-24,SET50
2015-12-25,815.07,817.54,817.77,808.26,784.43M,-0.17,815.07,784430000.0,2015-12-25,SET50
2015-12-28,815.37,816.45,817.6,811.91,650.21M,0.04,815.37,650210000.0,2015-12-28,SET50
2015-12-29,811.78,811.59,814.52,805.87,983.04M,-0.44,811.78,983040000.0,2015-12-29,SET50
2015-12-30,813.55,812.43,818.27,812.08,756.61M,0.22,813.55,756610000.0,2015-12-30,SET50
2016-01-04,794.95,811.91,812.0,791.95,1.05B,-2.29,794.95,1050000000.0,2016-01-04,SET50
2016-01-05,785.72,797.7,799.26,784.37,1.46B,-1.16,785.72,1460000000.0,2016-01-05,SET50
2016-01-06,790.02,782.9,790.74,780.43,1.62B,0.55,790.02,1620000000.0,2016-01-06,SET50
2016-01-07,761.75,771.44,775.08,761.69,2.12B,-3.58,761.75,2120000000.0,2016-01-07,SET50
2016-01-08,777.88,767.73,779.65,764.58,1.58B,2.12,777.88,1580000000.0,2016-01-08,SET50
2016-01-11,769.81,768.73,770.38,757.91,1.66B,-1.04,769.81,1660000000.0,2016-01-11,SET50
2016-01-12,786.13,767.05,786.13,766.76,1.92B,2.12,786.13,1920000000.0,2016-01-12,SET50
2016-01-13,803.90,796.13,804.17,790.96,2.56B,2.26,803.9,2560000000.0,2016-01-13,SET50
2016-01-14,789.91,792.52,798.97,787.48,1.98B,-1.74,789.91,1980000000.0,2016-01-14,SET50
2016-01-15,773.46,793.02,796.42,772.5,1.58B,-2.08,773.46,1580000000.0,2016-01-15,SET50
2016-01-18,771.71,763.34,776.7,760.55,1.25B,-0.23,771.71,1250000000.0,2016-01-18,SET50
2016-01-19,790.51,773.75,792.74,773.5,1.60B,2.44,790.51,1600000000.0,2016-01-19,SET50
2016-01-20,775.54,778.34,781.44,772.34,1.65B,-1.89,775.54,1650000000.0,2016-01-20,SET50
2016-01-21,775.07,785.65,787.82,768.58,1.38B,-0.06,775.07,1380000000.0,2016-01-21,SET50
2016-01-22,793.57,786.85,797.31,781.11,1.90B,2.39,793.57,1900000000.0,2016-01-22,SET50
2016-01-25,794.17,800.21,806.12,793.07,2.32B,0.08,794.17,2320000000.0,2016-01-25,SET50
2016-01-26,794.42,788.4,796.69,787.08,1.95B,0.03,794.42,1950000000.0,2016-01-26,SET50
2016-01-27,802.65,801.22,807.59,799.74,2.23B,1.04,802.65,2230000000.0,2016-01-27,SET50
2016-01-28,813.29,807.14,813.44,800.17,1.70B,1.33,813.29,1700000000.0,2016-01-28,SET50
2016-01-29,826.21,815.62,826.21,812.61,1.99B,1.59,826.21,1990000000.0,2016-01-29,SET50
2016-02-01,821.82,824.13,831.04,818.04,2.28B,-0.53,821.82,2280000000.0,2016-02-01,SET50
2016-02-02,810.85,819.86,823.85,810.57,1.59B,-1.33,810.85,1590000000.0,2016-02-02,SET50
2016-02-03,816.62,804.05,816.72,802.33,1.45B,0.71,816.62,1450000000.0,2016-02-03,SET50
2016-02-04,821.30,822.58,824.98,818.74,1.35B,0.57,821.3,1350000000.0,2016-02-04,SET50
2016-02-05,828.28,826.96,828.98,822.66,1.19B,0.85,828.28,1190000000.0,2016-02-05,SET50
