Date,High,Low,Open,Close,Volume,Adj Close,SMA,WMA,ADOSC,ATR,RSI,Actual,Predict
2017-03-23,27.25,26.75,27.0,27.0,12381900.0,24.907588958740234,27.45,27.34569892473118,3634280.0395825356,0.6685140181478986,41.45889399361663,27.25,26.59094068265699
2017-03-24,27.5,27.0,27.0,27.25,6337700.0,25.138214111328125,27.41,27.322043010752687,3022992.5404106677,0.6564773025659058,45.16944918282066,27.25,26.868974985707585
2017-03-27,27.25,27.0,27.0,27.25,2330200.0,25.138214111328125,27.38,27.301612903225806,3239530.1507121176,0.6274432095254838,45.16944918282066,27.0,26.844855700027527
2017-03-28,27.25,26.75,27.0,27.0,11980900.0,24.907588958740234,27.33,27.268817204301076,3033610.977588877,0.6183401231308064,42.07640604863296,27.0,26.549623527389013
2017-03-29,27.25,26.75,27.0,27.0,4255800.0,24.907588958740234,27.29,27.238709677419354,2673588.499712199,0.6098872571928917,42.07640604863296,27.25,26.515094460774126
2017-03-30,27.5,27.0,27.0,27.25,8627900.0,25.138214111328125,27.26,27.22741935483871,2283253.076970637,0.6020381673933995,46.33804851045642,27.25,26.852391565126794
2017-03-31,27.5,27.0,27.25,27.25,5034800.0,25.138214111328125,27.24,27.217741935483872,1916001.942488104,0.5947497268652996,46.338048510456424,27.25,26.838462462568227
2017-04-03,27.5,27.0,27.25,27.25,4202800.0,25.138214111328125,27.26,27.21021505376344,1591580.8472463489,0.587981889232064,46.33804851045642,27.5,26.833733736948066
2017-04-04,27.75,27.25,27.5,27.5,11944400.0,25.368839263916016,27.27,27.22043010752688,1314173.9585341215,0.5816974685726307,50.85413779334328,27.75,27.217848145809874
2017-04-05,28.0,27.5,27.75,27.75,15758200.0,25.599468231201172,27.28,27.248387096774195,1081218.9623760134,0.5758619351031571,54.93817350853948,27.75,27.580964698998706
2017-04-07,27.75,27.5,27.5,27.75,3184400.0,25.599468231201172,27.27,27.276881720430108,1900844.7400953472,0.5525860825957888,54.93817350853948,27.75,27.604199835942616
2017-04-10,27.75,27.25,27.5,27.75,7640900.0,25.599468231201172,27.28,27.305913978494623,4494537.581880935,0.5488299338389467,54.93817350853948,28.75,27.641181524305274
