,symbol,VA100
312,PLANB,48296.98699999997
313,PLAT,9839.815000000013
314,PLE,15725.601000000084
315,PM,9666.207000000013
316,PMTA,145.05000000000305
317,POPF,4687.728999999997
318,PORT,4132.058000000059
319,POST,9.614000000000003
320,PPF,410.0729999999993
321,PPP,141.74400000006622
322,PPPM,1676.6999999999657
323,PR9,
324,PRAKIT,284.0180000000584
325,PREB,2656.002000000008
326,PRECHA,1216.9609999999539
327,PRG,60.566
328,PRIME,745.2219999999033
329,PRIN,1869.8049999999573
330,PRINC,4758.314000000028
331,PRM,42316.53399999989
332,PSH,27013.313999999977
333,PSL,34256.98500000003
334,PT,2044.6280000000268
335,PTG,311650.26900000015
336,PTL,11542.795999999573
337,PTT,3131422.09
338,PTTEP,1868653.9349999982
339,PTTGC,1322027.7279999987
340,PYLON,10628.776000000002
341,QCON,121.56400000000004
342,QH,170676.80100000006
343,QHHR,2253.9610000000002
344,QHOP,31.281000000000173
345,QHPF,10642.21600000002
346,RAM,439.51700000000056
347,RATCH,60306.3419999998
348,RCI,8510.082000000059
349,RCL,1749.8009999999856
350,RICHY,6060.951
351,RJH,6810.907999999954
352,RML,34201.38700000014
353,ROH,130.53199999999998
354,ROJNA,11145.588999999993
355,RPC,417.47899999999623
356,RPH,3765.727000000012
357,RS,164668.70299999998
358,RSP,3639.829999999993
359,S11,1058.3750000000136
360,S,55471.81500000038
361,SABINA,24076.115000000005
362,SAM,263.12999999999914
363,SAMART,18112.252999999866
364,SAMCO,1192.639000000068
365,SAMTEL,442.7219999999905
366,SAPPE,9941.156000000083
367,SAT,17970.53299999996
368,SAUCE,112.47199999999928
369,SAWAD,476735.31199999957
370,SAWANG,13.937999999999747
371,SC,8777.192000000003
372,SCB,852132.2320000008
373,SCC,900054.6950000012
374,SCCC,24837.77699999987
375,SCG,112.52800000000033
376,SCI,4035.0710000000336
377,SCN,21958.14399999975
378,SCP,3819.222999999994
379,SDC,3026.2240000001284
380,SEED,127.95800000000132
381,SEAFCO,36113.74600000003
382,SENA,3725.515999999989
383,SF,16527.357000000033
384,SGP,106785.192
385,SHANG,312.41399999999993
386,SHREIT,2108.367999999999
387,SIAM,3247.158999999987
388,SINGER,879.449999999977
389,SIRI,83186.58200000005
390,SIS,2577.146000000001
391,SISB,
392,SITHAI,720.8620000000343
393,SKE,2440.6569999999715
394,SKN,6549.078999999973
395,SKR,1482.287000000001
396,SLP,260.2210000000223
397,SMIT,1875.8669999999804
398,SMK,181.96900000000042
399,SMPC,2252.9209999999694
400,SMT,2606.3030000000194
401,SNC,5623.036000000006
402,SNP,105.93000000000139
403,SOLAR,5057.350999999941
404,SORKON,192.3540000000006
405,SPACK,223.69600000002248
