,symbol,market-cap,VA100
250,MACO,6272.55,23721.527
260,MCOT,6252.6,750.64999999998
381,SEAFCO,6220.27,36113.74600000003
518,UTP,6175.0,11402.655000000052
295,NYT,6150.4,5334.98700000001
231,LANNA,6142.49,2144.084999999981
9,AH,6129.07,24943.67300000002
286,NFC,5983.08,531.5360000000034
123,DDD,5976.29,57730.523999999816
278,MONO,5900.75,15387.235000000237
258,MBKET,5765.22,2885.8419999999956
281,MTI,5723.0,676.8160000000007
152,FORTH,5712.0,368.6240000000231
474,TMT,5703.46,1190.139999999979
528,WACOAL,5640.0,116.399
351,RJH,5580.0,6810.907999999954
501,TSTH,5558.21,772.2789999999798
289,NOK,5498.24,2511.190000000008
340,PYLON,5286.6,10628.776000000002
315,PM,5144.91,9666.207000000013
520,UVAN,5076.0,2555.3790000000313
128,DRT,5024.2,1665.8420000000203
377,SCN,5016.0,21958.14399999975
174,GRAMMY,4919.7,139.97300000000018
410,SPG,4761.0,103.77799999999986
20,AMARIN,4751.82,325.01399999999774
185,HREIT,4707.64,3700.71800000001
382,SENA,4660.5,3725.515999999989
352,RML,4631.45,34201.38700000013
76,BRR,4628.96,1512.5689999999704
353,ROH,4593.75,130.53199999999998
365,SAMTEL,4573.2,442.7219999999905
49,BAT3K,4560.0,138.7830000000291
230,LALIN,4458.49,1531.614000000004
437,SYNTEC,4352.0,23003.290000000103
191,IHL,4289.77,4537.936999999963
467,TK,4250.0,2431.508999999989
240,LPH,4237.5,4388.873999999993
64,BIG,4234.65,17256.349999999817
264,METCO,4221.41,193.947
359,S11,4199.05,1058.3750000000136
375,SCG,4182.9,112.5280000000003
366,SAPPE,4169.84,9941.156000000085
89,CGH,4163.42,1112.204999999999
503,TTCL,4158.0,30404.720000000263
23,AMATAV,4151.39,3255.687999999989
200,IRC,4120.0,220.6859999999997
272,MJLF,4092.0,741.9229999999985
12,AIT,4064.52,4524.938000000017
391,SISB,4023.2,
497,TSE,3963.96,1520.1470000000115
81,BWG,3947.08,37554.733000000364
43,BWORK,3946.16,2650.2040000000025
349,RCL,3944.85,1749.8009999999854
401,SNC,3884.99,5623.036000000006
189,ICHI,3874.0,5343.511999999837
462,THREL,3870.0,2962.609999999965
60,BFIT,3726.43,4989.386999999979
38,ASIAN,3717.68,68663.86000000022
239,LOXLEY,3691.88,3359.6070000001455
273,MK,3690.28,7465.822999999997
3,ABPIF,3690.0,2412.2539999999954
461,THRE,3667.04,1872.5739999999705
379,SDC,3623.81,3026.224000000129
292,NUSA,3591.31,15717.928999999831
523,VIH,3566.66,3231.407999999985
465,TIPCO,3546.96,6838.891000000242
74,BR,3525.9,6922.126000000019
210,JMART,3480.35,25592.544000000264
77,BRRGIF,3465.0,2170.298000000002
496,TSC,3455.34,69.71200000000019
67,BKD,3443.87,1784.664000000016
390,SIS,3431.94,2577.146000000001
469,TKS,3361.65,17824.627000000022
414,SRICHA,3346.69,1151.0740000000349
287,NNCL,3338.65,2213.3370000000245
261,MCS,3325.0,11026.40700000013
13,AJ,3255.43,1104.1710000000348
139,EKH,3240.0,6891.573999999955
208,JCK,3199.08,3340.973999999965
529,WG,3195.15,1995.1969999999994
