,market-cap,symbol,normal_name
371,321255.4,PTTGC,PTT GLOBAL CHEMICAL
372,5286.6,PYLON,PYLON
373,1880.0,QCON,QUALITY CON.PRDS.
374,28071.67,QH,QUALITY HOUSES
375,2805.6,QHHR,QLT.HSE.HLRS.FH &. LH PROP
376,615.99,QHOP,QUALITY HOSPITALITY LEASEHOLD PROPERTY
377,10440.7,QHPF,QUALITY HOUSES LEASEHOLD PROPERTY FU
378,31920.0,RAM,RAMKHAMHAENG HOSPITAL
379,73587.5,RATCH,RATCH GROUP PCL
381,2393.34,RCI,ROYAL CERAMIC IND.
382,3944.85,RCL,REGIONAL CONTAINERS LIN.
383,1650.88,RICHY,RICHY PLACE 2002
384,5580.0,RJH,RAJTHANEE HOSPITAL PUBLIC
385,4631.45,RML,RAIMON LAND
386,400.0,ROCK,ROCKWORTH
387,4593.75,ROH,ROYAL ORCHID HTL.(THAI.)
388,9496.16,ROJNA,ROJANA INDUSTRIAL PARK
389,508.82,RPC,RPCG
390,2642.64,RPH,RATCHAPHRUEK HOSPITAL
391,14950.2,RS,RS
392,2864.4,RSP,RICH SPORT
393,3568.35,S&J,S & J INTL.ENTERPRISES
394,4199.05,S11,S11 GROUP
395,21246.52,S,SINGHA ESTATE
396,10425.0,SABINA,SABINA
397,480.76,SAM,SAMCHAI STEEL INDS.
398,6391.3,SAMART,SAMART
399,1078.22,SAMCO,SAMMAKORN
400,4573.2,SAMTEL,SAMART TELCOMS
401,4169.84,SAPPE,SAPPE
402,6505.46,SAT,SOMBOON ADVANCE TECH.
403,7920.0,SAUCE,THAITHEPAROS
404,51649.78,SAWAD,SRISAWAD CORPORATION
405,266.4,SAWANG,SAWANG EXPORT
406,230.18,SBPF,SAMUI BURI PROPERTY FUND
407,11284.98,SC,SC ASSET
408,453295.8,SCB,SIAM COMMERCIAL BANK
409,523200.4,SCC,SIAM CEMENT
410,61090.0,SCCC,SIAM CITY CEMENT
411,4182.9,SCG,SAHACOGEN(CHONBURI)
412,1860.0,SCI,SCI ELECTRIC
413,5016.0,SCN,SCAN INTER
414,2550.0,SCP,SOUTHERN CONCRETE PILE
415,3623.81,SDC,SAMART DIGITAL ORS
416,1199.35,SEED,SE-EDUCATION
417,6220.27,SEAFCO,SEAFCO
419,4660.5,SENA,SENA DEVELOPMENT
420,13058.06,SF,SIAM FUTURE DEVELOPMENT
422,3738.0,SFP,SIAM FOOD PRODUCTS
423,15621.83,SGP,SIAMGAS AND PETROCHEM.
424,9945.0,SHANG,SHANGRI-LA HOTEL
426,3193.17,SHREIT,STGC.HOSPLTY. EXTENDABLE FREE&LEASE
427,1245.56,SIAM,SIAM STEEL INTL.
428,1728.0,SINGER,SINGER THAILAND
429,17538.03,SIRI,SANSIRI
430,1938.0,SIRIP,SIRI PRIME OFFICE PROPERTY
431,3431.94,SIS,SIS DS.(THAILAND)
432,4023.2,SISB,SISB
433,2953.79,SITHAI,SRITHAI SUPERWARE
434,957.9,SKE,SAKOL ENERGY
435,2944.0,SKN,S KIJCHAI ENTERPRISE
436,7917.34,SKR,SIKARIN
437,972.0,SLP,SALEE PRINTING
438,3127.0,SMIT,SAHAMIT MACHINERY
439,7900.0,SMK,SYN MUN KONG
440,6693.82,SMPC,SAHAMITR PRESSURE CTNR.
441,1580.95,SMT,STARS MICROELECTRONICS
442,3884.99,SNC,SNC FORMER
443,9562.96,SNP,S & P SYNDICATE
444,1110.01,SOLAR,SOLARTRON
445,2207.2,SORKON,S KHONKAEN FOODS
446,492.0,SPACK,S PACK & PRINT
447,39004.02,SPALI,SUPALAI
448,17077.5,SPC,SAHA PATHANAPIBUL
449,17629.22,SPCG,SPCG
450,21850.0,SPF,SAMUI AIRPORT PROPERTY (LEASEHOLD)
451,4761.0,SPG,SIAM PAN GROUP
452,42292.11,SPI,SAHA PATH.INTER-HOLDING
453,41624.64,SPRC,STAR PTL.REFN.
455,2360.92,SQ,SAHAKOL EQUIPMENT
456,3346.69,SRICHA,SRIRACHA CONSTRUCTION
457,3013.89,SRIPANWA,SRI PANWA HOSPLTY. REIT. TST.
458,8907.66,SSC,SERMSUK
459,1889.99,SSF,SURAPON FOODS
460,7390.39,SSP,SERMSANG POWER CORPORATION
461,1578.15,SSPF,SALA @ SATHORN PROPERTY
462,1740.79,SSSC,SIAM STEEL SERVICE CTR.
463,1905.28,SST,SUB SRI THAI
464,500.2,SSTRT,SUB SRI THAI REAL ESTATE INVESTMENT TRUST
465,21657.61,STA,SRI TRANG AGRO-INDUSTRY
466,16321.13,STANLY,THAI STANLEY ELECTRIC
467,840.35,STARK,STARK CORPORATION
468,31112.52,STEC,SINO-THAI ENGR.CON.
470,6598.23,STPI,STP & I
471,13725.0,SUC,SAHA-UNION
472,14495.21,SUPER,SUPER ENERGY CORPORATION
474,2662.0,SUSCO,SUSCO
475,1122.0,SUTHA,GOLDEN LIME
