,ticker,industry,sector,volatility_5d,mean_price
162,INTUCH,Technology,Information & Communication Technology,0.009733071825628572,0.37405800411052753
163,IRC,Industrials,Automotive,0.00471055719766005,0.32066018272914815
164,IRPC,Resources,Energy & Utilities,0.0037807183364839676,0.348340322592327
165,IT,ERROR,ERROR,0.004999999999999916,0.20639367816091952
166,ITD,Property & Construction,Construction Services,0.0050188205771643625,0.07699851454448435
167,IVL,Industrials,Petrochemicals & Chemicals,0.012799458305356417,0.5167349275553793
168,JAS,Technology,Information & Communication Technology,0.005532302262386664,0.4478823355797137
169,JCK,Property & Construction,Property Development,0.0010168095370316319,0.09687573148045484
170,JCT,Consumer Products,Personal Products & Pharmaceuticals,0.0,0.22107279693486592
171,JMART,Technology,Information & Communication Technology,0.0011741113206869712,0.2508028989300037
172,JMT,Financials,Finance & Securities,0.008733624454148447,0.6532692532918403
173,JTS,Technology,Information & Communication Technology,0.002538331339671696,0.19401266551525614
174,JUTHA,Services,Transportation & Logistics,0.0,0.06621348823795987
175,KAMART,Services,Commerce,0.002170963364993206,0.13301829410939034
176,KBANK,Financials,Banking,0.009357587164420278,0.367059467465147
177,KBS,Agro & Food Industry,Food & Beverage,0.0008849557522123908,0.07574678737327499
178,KCAR,Financials,Finance & Securities,0.0,0.30784518614133205
179,KCE,Technology,Electronic Components,0.004511030833854815,0.19974880576900012
180,KDH,Services,Health Care Services,0.0,0.29660280970625796
181,KGI,Financials,Finance & Securities,0.009805512124553202,0.7542249547061092
182,KKC,Industrials,Industrial Materials & Machinery,0.0022857142857142464,0.07636562671045427
183,KKP,ERROR,ERROR,0.007889409852562385,0.7021376189733187
184,KPNPF,ERROR,ERROR,0.0,0.2213893053473266
185,KSL,Agro & Food Industry,Food & Beverage,0.0014981273408239736,0.14399385825189784
186,KTB,Financials,Banking,0.01739130434782632,0.33853906380143284
187,KTC,Financials,Finance & Securities,0.004434589800443473,0.8062840346271801
188,KWC,Services,Transportation & Logistics,0.0,0.8060163309987377
189,KWG,Property & Construction,Property Development,0.001635991820040905,0.14237359847683517
190,KYE,Consumer Products,Home & Office Products,0.013095238095238137,0.37559295748950916
191,L&E,Consumer Products,Home & Office Products,1.3877787807814457e-17,0.09455699648731383
192,LALIN,Property & Construction,Property Development,0.008240390098313708,0.5718696502812425
193,LANNA,Resources,Energy & Utilities,0.006666666666666644,0.24008620689655172
194,LEE,Agro & Food Industry,Agribusiness,0.009999999999999964,0.19042145593869744
195,LH,Property & Construction,Property Development,0.010100988630033688,0.6407552237626895
196,LHFG,Financials,Banking,0.0037383177570093017,0.27890571848032375
197,LHK,Industrials,Steel,0.018461538461538484,0.36501620984379596
198,LHPF,ERROR,ERROR,0.0,0.4191810344827579
199,LOXLEY,Services,Commerce,0.0021333333333333425,0.140117496807152
200,LPN,Property & Construction,Property Development,0.004914381928872064,0.09715524099525415
201,LRH,Services,Tourism & Leisure,0.02250410959778582,0.6379415028369241
202,LST,Agro & Food Industry,Food & Beverage,0.0,0.15570399791378312
203,LUXF,Property & Construction,Property Fund & REITs,0.0,0.7026039449411097
204,MCHAI,ERROR,ERROR,0.00203045685279189,0.18385942392593882
205,MII,ERROR,ERROR,0.10503005684630289,0.21378011559192184
206,MSTOR,ERROR,ERROR,0.01778965085290394,0.12211325529895597
207,M,Agro & Food Industry,Food & Beverage,0.017896781402824895,0.6215106732348112
208,MACO,Services,Media & Publishing,0.00907218423253022,0.5074972801665012
209,MAJOR,Services,Media & Publishing,0.0019900497512438165,0.5061378929109243
210,MAKRO,Services,Commerce,0.0036697247706421795,0.21842595521810954
211,MALEE,Agro & Food Industry,Food & Beverage,0.0009243357519936518,0.026762090652786803
